Fracture Date,Year,UWI,Well Area Name,Latitude_dd,Longitude_dd,Total Water Volume (m^3)
2025-02-25,2025,100111608116W600,PARKLAND,56.01088611111111,-120.4076888888889,26878.65
2025-02-25,2025,200D034E094H0400,NIG CREEK,57.081583333333334,-121.87049722222221,27976.88
2025-02-25,2025,100121608116W600,PARKLAND,56.01079722222222,-120.40769444444445,27228.15
2025-02-25,2025,102051608116W600,PARKLAND,56.01070833333333,-120.4077,28198.09
2025-02-18,2025,103042608018W600,TOWER LAKE,55.998244444444445,-120.70744722222223,26551.0
2025-02-18,2025,102032608018W600,TOWER LAKE,55.998244444444445,-120.7061638888889,24913.0
2025-02-18,2025,103032608018W600,TOWER LAKE,55.998244444444445,-120.706325,29935.0
2025-02-18,2025,102043508018W600,TOWER LAKE,55.998244444444445,-120.70760555555556,18434.0
2025-02-18,2025,105032608018W600,TOWER LAKE,55.998244444444445,-120.70680555555556,30899.0
2025-02-18,2025,100043508018W600,TOWER LAKE,55.998244444444445,-120.707125,16191.0
